disease,medication
Chronobiology Disorders,"Insulin Glargine,Hum.Rec.Anlog, Octreotide Acetate,mi-Spheres, Corticotropin, Esomeprazole Magnesium, Darunavir Ethanolate, Abatacept Abatacept Maltose, "
Charcot-Marie-Tooth Disease,"Thyrotropin Alfa, Methylprednisolone Acetate (80 mg), Doxazosin Mesylate, Glatiramer Acetate, Immun Glob G (IGG) Gly Iga 50+, Treprostinil Treprostinil Neb Accessories Treprostinil Nebulizer Accesor, "
Neurocutaneous Syndromes,"Simeprevir Sodium, Methylprednisolone Acetate (40 mg), Tiotropium Bromide, Sofosbuvir, Naproxen Esomeprazole Mag, "
Neurodegenerative Diseases,"Prednisolone Acetate, Treprostinil Sodium, "
Learning Disorders,"Bosentan, Immun Glob G (IGG) Gly Iga 50+, "
Memory Disorders,"Aminolevulinic Acid HCl, Aripiprazole, Erlotinib HCl, Immun Glob G(IGG) Malt Iga 50+, Octreotide Acetate,mi-Spheres, "
Mental Retardation,"Octreotide Acetate, Immun Glob G (IGG) Gly Iga 50+, Immun Glob G(IGG) Pro Iga 0-50, Memantine HCl, Ledipasvir Sofosbuvir, Pegfilgrastim, "
De Lange Syndrome,"Raltegravir Potassium, Diclofenac Sodium, Trastuzumab, Bosentan, "
Down Syndrome,"Efavirenz Emtricitab Tenofovir, Daptomycin, Methylprednisolone Acetate (40 mg), Darbepoetin Alfa In Polysorbat, Sofosbuvir, Adalimumab, "
Pain,"Glatiramer Acetate, Clomipramine HCL, Octreotide Acetate,mi-Spheres, Bendamustine HCl, "
Neuromuscular Diseases,"Cetuximab, Teriparatide, Memantine HCl, Albuterol Sulfate, Mitomycin, "
Alcohol-Induced Disorders Nervous System,"Captopril, Erlotinib HCl, Bupropion HCl, Bevacizumab, Treprostinil Sodium, "
Sleep Disorders,"Thyrotropin Alfa, Denosumab, "
Sleep Initiation and Maintenance Disorders,"Propranolol HCl, Pemetrexed Disodium, Tiotropium Bromide, Aflibercept, "
Albinism,"Immun Glob G (IGG) Gly Iga 50+, Abiraterone Acetate, Clobetasol Propionate, "
Infertility Male,"Pegfilgrastim, Rivaroxaban, Capecitabine, "
Varicocele,"Daptomycin, Treprostinil Sodium, "
Kidney Diseases,"Divalproex Sodium, Enzalutamide, Pegfilgrastim, Chlorpromazine HCl, Abiraterone Acetate, "
Hypertension Renal,"Epoetin Alfa, Tiotropium Bromide, Rivaroxaban, Epoetin alfa, Methylprednisolone Acetate (80 mg), "
Glomerulonephritis,"Albuterol Sulfate, Certolizumab Pegol, "
Uremia,"Corticotropin, Efavirenz Emtricitab Tenofovir, Cetuximab, Ipilimumab, Rituximab, Capecitabine, "
Primary Ovarian Insufficiency,"Bexarotene, Captopril, Pneumococcal 13-Valent Vaccine, "
Abortion Habitual,"Bendamustine HCl, Enalapril Maleate, Emtricitabine Tenofovir, Paliperidone Palmitate, Ipilimumab, "
Sinoatrial Block,"Dimethyl Fumarate, Octreotide Acetate,mi-Spheres, Prednisolone Acetate, Gemcitabine HCl, "
Cardiomyopathies,"Cyclophosphamide, Gemcitabine HCl, Abatacept Abatacept Maltose, Abiraterone Acetate, Methylprednisolone Acetate (80 mg), "
Heart Arrest,"Epoetin alfa, Divalproex Sodium, "
Myocardial Ischemia,"Ibrutinib, Etanercept, Hydroxychloroquine Sulfate, Glucagon,human Recombinant, Naproxen Esomeprazole Mag, "
Coronary Artery Disease,"Abatacept Abatacept Maltose, Enalapril Maleate, Carfilzomib, "
Vascular Diseases,"Pneumococcal 13-Valent Vaccine, Cyanocobalamin (Vitamin B-12), Treprostinil Treprostinil Neb Accessories Treprostinil Nebulizer Accesor, Raltegravir Potassium, Bevacizumab, "
Atherosclerosis,"Rituximab, Carbamazepine, Methylprednisolone Acetate (40 mg), Epoetin Alfa, Thyrotropin Alfa, Bupropion HCl, "
Hypertension,"Ibrutinib, Simeprevir Sodium, "
Abnormalities Multiple,"Immun Glob G(IGG) Pro Iga 0-50, Insulin Glargine,Hum.Rec.Anlog, Mitomycin, "
Bloom Syndrome,"Bexarotene, Pegfilgrastim, Aripiprazole, "
Skin Abnormalities,"Aflibercept, Everolimus, Fluticasone Salmeterol, "
Dyskeratosis Congenita,"Imatinib Mesylate, Epoetin Alfa, Octreotide Acetate, Ledipasvir Sofosbuvir, "
Rothmund-Thomson Syndrome,"Duloxetine HCl, Carfilzomib, Octreotide Acetate, Treprostinil Sodium, "
Genetic Diseases Inborn,"Diclofenac Sodium, Etanercept, Albuterol Sulfate, Denosumab, "
Metabolism Inborn Errors,"Daptomycin, Carfilzomib, Divalproex Sodium, "
Amyloidosis Familial,"Teriparatide, Albuterol Sulfate, Fluticasone Salmeterol, Infliximab, Bexarotene, "
Progeria,"Clobetasol Propionate, Ibrutinib, "
Cutis Laxa,"Formoterol Fumarate, Gemcitabine HCl, Aflibercept, Teriparatide, "
Werner Syndrome,"Memantine HCl, Carbamazepine, "
Severe Combined Immunodeficiency,"Thyrotropin Alfa, Raltegravir Potassium, "
Connective Tissue Diseases,"Clomipramine HCL, Sofosbuvir, "
Collagen Diseases,"Rituximab, Metformin HCl, Methylprednisolone Acetate (40 mg), Memantine HCl, Divalproex Sodium, "
Scleroderma Systemic,"Methylprednisolone Acetate (80 mg), Formoterol Fumarate, Bevacizumab, "
Scleroderma Diffuse,"Certolizumab Pegol, Formoterol Fumarate, Esomeprazole Magnesium, Sipuleucel-T Lactated Ringers, "
Skin Diseases,"Aflibercept, Carbamazepine, "
Hair Diseases,"Bupropion HCl, Divalproex Sodium, Esomeprazole Magnesium, Sofosbuvir, "
Vitiligo,"Ambrisentan, Methylprednisolone Acetate (80 mg), Octreotide Acetate, Carfilzomib, Propranolol HCl, "
Lipodystrophy,"Immun Glob G(IGG) Pro Iga 0-50, Dimethyl Fumarate, Arformoterol Tartrate, Tiotropium Bromide, Lenalidomide, Aripiprazole, "
DNA Repair-Deficiency Disorders,"Erlotinib HCl, Enzalutamide, Methylprednisolone Acetate (80 mg), "
Diabetes Mellitus Experimental,"Bendamustine HCl, Bevacizumab, Octreotide Acetate, Formoterol Fumarate, Sipuleucel-T Lactated Ringers, "
Diabetes Mellitus Type 2,"Sitagliptin Phosphate, Carfilzomib, Darbepoetin Alfa In Polysorbat, Enalapril Maleate, Rituximab, Azacitidine, "
Hyperglycemia,"Epoetin alfa, Sitagliptin Phosphate, Infliximab, Enzalutamide, "
Insulin Resistance,"Captopril, Bosentan, Mitomycin, Ranibizumab, Esomeprazole Magnesium, "
Metabolic Syndrome X,"Octreotide Acetate, Methylprednisolone Acetate (40 mg), Etanercept, Naproxen Esomeprazole Mag, Everolimus, "
Hyperlipidemias,"Duloxetine HCl, Imatinib Mesylate, "
Hypertriglyceridemia,"Captopril, Immun Glob G (IGG) Gly Iga 50+, Mitomycin, "
Mitochondrial Diseases,"Glatiramer Acetate, Bupropion HCl, Duloxetine HCl, "
Vitamin D Deficiency,"Metformin HCl, Fulvestrant, Fluticasone Salmeterol, Treprostinil Sodium, "
Adrenal Cortex Diseases,"Duloxetine HCl, Hydroxychloroquine Sulfate, "
Autoimmune Diseases,"Aflibercept, Albuterol Sulfate, Chlorpromazine HCl, Bosentan, "
Combat Disorders,"Thyrotropin Alfa, Lenalidomide, Cyclophosphamide, "
Stress Disorders Post-Traumatic,"Treprostinil Sodium, Daptomycin, Abatacept Abatacept Maltose, Emtricitabine Tenofovir, Ranibizumab, Raltegravir Potassium, "
Cognition Disorders,"Etanercept, Ledipasvir Sofosbuvir, Ipilimumab, Enalapril Maleate, Hydroxychloroquine Sulfate, "
Developmental Disabilities,"Treprostinil Sodium, Glatiramer Acetate, "
Hernia,"Pemetrexed Disodium, Enzalutamide, Azacitidine, Thyrotropin Alfa, Sipuleucel-T Lactated Ringers, Glucagon,human Recombinant, "
Death Sudden,"Bortezomib, Infliximab, "
Genetic Predisposition to Disease,"Immun Glob G (IGG) Gly Iga 50+, Methylprednisolone Acetate (80 mg), Clobetasol Propionate, Ibrutinib, "
Genomic Instability,"Clobetasol Propionate, Omalizumab, "
Gliosis,"Gemcitabine HCl, Sofosbuvir, Thyrotropin Alfa, Paclitaxel Protein-Bound, Natalizumab, "
Growth Disorders,"Prednisolone Acetate, Enzalutamide, Raltegravir Potassium, "
Inflammation,"Doxazosin Mesylate, Octreotide Acetate, Memantine HCl, Sirolimus, "
Ischemia,"Carfilzomib, Etanercept, Pregabalin, Ipilimumab, "
Neovascularization Pathologic,"Glucagon,human Recombinant, Sirolimus, "
Nerve Degeneration,"Naproxen Esomeprazole Mag, Rituximab, "
Alcohol-Related Disorders,"Naproxen Esomeprazole Mag, Bexarotene, Ipilimumab, Omalizumab, "
Alcoholism,"Glucagon,human Recombinant, Mitomycin, Pneumococcal 13-Valent Vaccine, Enalapril Maleate, Bosentan, Carbamazepine, "
Athletic Injuries,"Fulvestrant, Raltegravir Potassium, Cetuximab, Bendamustine HCl, "
Radiation Injuries,"Chlorpromazine HCl, Adalimumab, Ledipasvir Sofosbuvir, Enalapril Maleate, Bortezomib, Cetuximab, "
Radiation Injuries Experimental,"Doxazosin Mesylate, Naproxen Esomeprazole Mag, Sitagliptin Phosphate, Prednisolone Acetate, Capecitabine, "
Bacteremia,"Methylprednisolone Acetate (40 mg), Enalapril Maleate, Bendamustine HCl, Adalimumab, "
Meningitis Meningococcal,"Imatinib Mesylate, Thyrotropin Alfa, Clomipramine HCL, Abatacept Abatacept Maltose, "
Waterhouse-Friderichsen Syndrome,"Abatacept Abatacept Maltose, Clobetasol Propionate, Alteplase, Bendamustine HCl, "
Anaplasmosis,"Alteplase, Econazole Nitrate, Infliximab, "
Brucellosis,"Paclitaxel Protein-Bound, Everolimus, Ursodiol, "
Psittacosis,"Tiotropium Bromide, Pemetrexed Disodium, Insulin Glargine,Hum.Rec.Anlog, Corticotropin, Duloxetine HCl, Diclofenac Sodium, "
Typhoid Fever,"Emtricitabine Tenofovir, Imatinib Mesylate, Econazole Nitrate, "
Helicobacter Infections,"Dimethyl Fumarate, Immun Glob G (IGG) Gly Iga 50+, Carbamazepine, Immun Glob G(IGG) Malt Iga 50+, Methylprednisolone Acetate (40 mg), Tiotropium Bromide, "
Meningococcal Infections,"Memantine HCl, Carfilzomib, Divalproex Sodium, Carbamazepine, Tiotropium Bromide, "
Tularemia,"Fluticasone Salmeterol, Adalimumab, Esomeprazole Magnesium, "
Diphtheria,"Aripiprazole, Abatacept Abatacept Maltose, Glucagon,human Recombinant, Teriparatide, Prednisolone Acetate, Sofosbuvir, "
Leprosy,"Lenalidomide, Raltegravir Potassium, Paliperidone Palmitate, Bendamustine HCl, "
Tuberculosis Endocrine,"Propranolol HCl, Ranibizumab, "
Tuberculosis Spinal,"Omalizumab, Metformin HCl, Hydroxychloroquine Sulfate, Divalproex Sodium, Thyrotropin Alfa, Bosentan, "
Tuberculosis Pulmonary,"Rituximab, Omalizumab, Carbamazepine, Hydroxychloroquine Sulfate, "
Botulism,"Darunavir Ethanolate, Prednisolone Acetate, "
Enterocolitis Pseudomembranous,"Capecitabine, Natalizumab, Teriparatide, Clobetasol Propionate, Darbepoetin Alfa In Polysorbat, "
Tetanus,"Adalimumab, Bendamustine HCl, Chlorpromazine HCl, Pneumococcal 13-Valent Vaccine, Doxazosin Mesylate, Immun Glob G(IGG) Malt Iga 50+, "
Staphylococcal Infections,"Erlotinib HCl, Naproxen Esomeprazole Mag, Mitomycin, Insulin Glargine,Hum.Rec.Anlog, "
Rheumatic Fever,"Imatinib Mesylate, Trastuzumab, Octreotide Acetate, "
Rheumatic Heart Disease,"Paliperidone Palmitate, Divalproex Sodium, Esomeprazole Magnesium, "
Infection,"Insulin Glargine,Hum.Rec.Anlog, Rituximab, Denosumab, Ursodiol, "
Discitis,"Rituximab, Denosumab, Fulvestrant, "
Cross Infection,"Pneumococcal 13-Valent Vaccine, Divalproex Sodium, Epoetin Alfa, "
Pregnancy Complications Infectious,"Aripiprazole, Bosentan, Trastuzumab, Ledipasvir Sofosbuvir, Epoetin Alfa, "
Respiratory Tract Infections,"Glucagon,human Recombinant, Cyanocobalamin (Vitamin B-12), "
Dermatomycoses,"Carfilzomib, Abiraterone Acetate, Fluticasone Salmeterol, "
Paracoccidioidomycosis,"Ranibizumab, Erlotinib HCl, Rivaroxaban, Imatinib Mesylate, "
Mycoses,"Metformin HCl, Bupropion HCl, Treprostinil Sodium, "
Lung Diseases Fungal,"Everolimus, Trastuzumab, Glatiramer Acetate, Teriparatide, Azacitidine, Ranibizumab, "
Meningitis Viral,"Certolizumab Pegol, Treprostinil Treprostinil Neb Accessories Treprostinil Nebulizer Accesor, Ambrisentan, "
Poliomyelitis,"Metformin HCl, Natalizumab, Immun Glob G(IGG) Pro Iga 0-50, Denosumab, Bortezomib, Rivaroxaban, "
Cytomegalovirus Infections,"Formoterol Fumarate, Bosentan, Efavirenz Emtricitab Tenofovir, Omalizumab, "
Infectious Mononucleosis,"Formoterol Fumarate, Glatiramer Acetate, Denosumab, "
Sarcoma Kaposi,"Rosuvastatin Calcium, Treprostinil Treprostinil Neb Accessories Treprostinil Nebulizer Accesor, Rituximab, Thyrotropin Alfa, Mitomycin, "
Fatigue Syndrome Chronic,"Lenalidomide, Mitomycin, Glucagon,human Recombinant, Aminolevulinic Acid HCl, "
Hepatitis A,"Rosuvastatin Calcium, Everolimus, Imatinib Mesylate, "
Hepatitis C Chronic,"Chlorpromazine HCl, Rosuvastatin Calcium, Captopril, Rivaroxaban, "
Hemorrhagic Fever with Renal Syndrome,"Ambrisentan, Abatacept Abatacept Maltose, Natalizumab, Glucagon,human Recombinant, Propranolol HCl, Arformoterol Tartrate, "
AIDS-Related Complex,"Glatiramer Acetate, Aripiprazole, Diclofenac Sodium, Insulin Glargine,Hum.Rec.Anlog, "
Cestode Infections,"Naproxen Esomeprazole Mag, Treprostinil Sodium, Capecitabine, Raltegravir Potassium, Etanercept, "
Echinococcosis,"Emtricitabine Tenofovir, Cetuximab, "
Echinococcosis Hepatic,"Infliximab, Aripiprazole, Insulin Glargine,Hum.Rec.Anlog, Sipuleucel-T Lactated Ringers, Chlorpromazine HCl, "
Trematode Infections,"Denosumab, Esomeprazole Magnesium, "
Fascioliasis,"Propranolol HCl, "
Opisthorchiasis,"Trastuzumab, Epoetin alfa, "
Schistosomiasis,"Divalproex Sodium, Paclitaxel Protein-Bound, Azacitidine, "
Intestinal Diseases Parasitic,"Pegfilgrastim, Adalimumab, "
Liver Diseases Parasitic,"Omalizumab, Ursodiol, "
Lung Diseases Parasitic,"Aripiprazole, Infliximab, "
Amebiasis,"Treprostinil Sodium, Sitagliptin Phosphate, Aminolevulinic Acid HCl, Propranolol HCl, "
Leishmaniasis Visceral,"Immun Glob G (IGG) Gly Iga 50+, Propranolol HCl, Gemcitabine HCl, Rituximab, "
Trypanosomiasis African,"Omalizumab, Cetuximab, Octreotide Acetate,mi-Spheres, Capecitabine, Darunavir Ethanolate, "
Malaria Falciparum,"Cyanocobalamin (Vitamin B-12), Formoterol Fumarate, Naproxen Esomeprazole Mag, Abatacept Abatacept Maltose, "
Trichomonas Infections,"Bortezomib, Pneumococcal 13-Valent Vaccine, Clobetasol Propionate, Mitomycin, Pregabalin, Ibrutinib, "
Cysts,"Octreotide Acetate,mi-Spheres, Epoetin alfa, Paliperidone Palmitate, Fulvestrant, Sirolimus, Insulin Glargine,Hum.Rec.Anlog, "
Arachnoid Cysts,"Ambrisentan, Immun Glob G(IGG) Malt Iga 50+, Carbamazepine, Natalizumab, Pemetrexed Disodium, "
Dermoid Cyst,"Dimethyl Fumarate, Bevacizumab, Paliperidone Palmitate, Treprostinil Sodium, Methylprednisolone Acetate (40 mg), "
Leukemia Hairy Cell,"Treprostinil Treprostinil Neb Accessories Treprostinil Nebulizer Accesor, Carfilzomib, Fulvestrant, Immun Glob G (IGG) Gly Iga 50+, "
Leukemia Lymphoid,"Metformin HCl, Trastuzumab, Prednisolone Acetate, Raltegravir Potassium, Azacitidine, "
Leukemia Myeloid,"Pregabalin, Captopril, Enzalutamide, "
Leukemia Myeloid Acute,"Prednisolone Acetate, Gemcitabine HCl, "
Leukemia Promyelocytic Acute,"Aminolevulinic Acid HCl, Ibrutinib, Omalizumab, Rivaroxaban, Cyclophosphamide, "
Hodgkin Disease,"Clobetasol Propionate, Propranolol HCl, "
Lymphoma Non-Hodgkin,"Digoxin, Corticotropin, "
Lymphoma Large-Cell Immunoblastic,"Cyclophosphamide, Immun Glob G(IGG) Pro Iga 0-50, "
Lymphoma T-Cell Cutaneous,"Daptomycin, Bupropion HCl, Capecitabine, Simeprevir Sodium, "
Myxoma,"Lenalidomide, Etanercept, "
Leiomyoma,"Glatiramer Acetate, Lenalidomide, Esomeprazole Magnesium, "
Leiomyosarcoma,"Adalimumab, Hydroxychloroquine Sulfate, Octreotide Acetate, Glucagon,human Recombinant, Bendamustine HCl, "
Myosarcoma,"Naproxen Esomeprazole Mag, Esomeprazole Magnesium, "
Germinoma,"Dimethyl Fumarate, Fulvestrant, "
Craniopharyngioma,"Immun Glob G(IGG) Pro Iga 0-50, Adalimumab, Azacitidine, Corticotropin, "
Glioma,"Enzalutamide, Captopril, Divalproex Sodium, Everolimus, "
Adenoma Chromophobe,"Immun Glob G(IGG) Pro Iga 0-50, Bevacizumab, Clomipramine HCL, Alteplase, Natalizumab, "
Neurilemmoma,"Paliperidone Palmitate, Infliximab, Ledipasvir Sofosbuvir, Glucagon,human Recombinant, Darbepoetin Alfa In Polysorbat, "
Teratoma,"Daptomycin, Arformoterol Tartrate, Naproxen Esomeprazole Mag, "
Choriocarcinoma,"Ipilimumab, Propranolol HCl, Sitagliptin Phosphate, Corticotropin, Alteplase, Captopril, "
Gestational Trophoblastic Neoplasms,"Diclofenac Sodium, Ibrutinib, "
Adenoma,"Naproxen Esomeprazole Mag, Immun Glob G(IGG) Pro Iga 0-50, "
Carcinoma,"Immun Glob G (IGG) Gly Iga 50+, Ursodiol, Fulvestrant, Cetuximab, "
Adenocarcinoma,"Certolizumab Pegol, Ibrutinib, Abatacept Abatacept Maltose, "
Carcinoma Hepatocellular,"Albuterol Sulfate, Rituximab, Hydroxychloroquine Sulfate, Fulvestrant, Imatinib Mesylate, "
Carcinoma Renal Cell,"Aripiprazole, Epoetin Alfa, Digoxin, "
Carcinoma Papillary,"Teriparatide, Divalproex Sodium, Fluticasone Salmeterol, "
Carcinoma Squamous Cell,"Econazole Nitrate, Immun Glob G(IGG) Pro Iga 0-50, Methylprednisolone Acetate (80 mg), Prednisolone Acetate, Octreotide Acetate, "
Multiple Myeloma,"Methylprednisolone Acetate (80 mg), Simeprevir Sodium, Aripiprazole, "
Plasmacytoma,"Raltegravir Potassium, Fluticasone Salmeterol, "
Waldenstrom Macroglobulinemia,"Rituximab, Insulin Glargine,Hum.Rec.Anlog, Daptomycin, Pegfilgrastim, "
Peritoneal Neoplasms,"Ibrutinib, Ursodiol, Immun Glob G(IGG) Pro Iga 0-50, Carfilzomib, "
Retroperitoneal Neoplasms,"Pemetrexed Disodium, Bortezomib, Fulvestrant, Glatiramer Acetate, Rivaroxaban, Cetuximab, "
Gastrointestinal Neoplasms,"Efavirenz Emtricitab Tenofovir, Sofosbuvir, "
Esophageal Neoplasms,"Bupropion HCl, Capecitabine, Aflibercept, Econazole Nitrate, Ursodiol, Cyanocobalamin (Vitamin B-12), "
Intestinal Neoplasms,"Arformoterol Tartrate, Infliximab, Pneumococcal 13-Valent Vaccine, Ursodiol, Methylprednisolone Acetate (80 mg), Azacitidine, "
Cecal Neoplasms,"Duloxetine HCl, Ipilimumab, Trastuzumab, Captopril, Sofosbuvir, "
Colorectal Neoplasms,"Paclitaxel Protein-Bound, Carfilzomib, "
Rectal Neoplasms,"Ipilimumab, Naproxen Esomeprazole Mag, Abiraterone Acetate, "
Stomach Neoplasms,"Immun Glob G(IGG) Pro Iga 0-50, Immun Glob G (IGG) Gly Iga 50+, Natalizumab, Albuterol Sulfate, "
Liver Neoplasms,"Fluticasone Salmeterol, Fulvestrant, Enzalutamide, Immun Glob G (IGG) Gly Iga 50+, "
Pancreatic Neoplasms,"Bortezomib, Bosentan, Chlorpromazine HCl, Insulin Glargine,Hum.Rec.Anlog, Ranibizumab, "
Ovarian Neoplasms,"Infliximab, Treprostinil Treprostinil Neb Accessories Treprostinil Nebulizer Accesor, Aripiprazole, Mitomycin, Immun Glob G(IGG) Pro Iga 0-50, Pegfilgrastim, "
Parathyroid Neoplasms,"Metformin HCl, Enalapril Maleate, Erlotinib HCl, Natalizumab, Econazole Nitrate, "
Pituitary Neoplasms,"Immun Glob G(IGG) Pro Iga 0-50, Trastuzumab, Enalapril Maleate, Formoterol Fumarate, "
Head and Neck Neoplasms,"Sipuleucel-T Lactated Ringers, Imatinib Mesylate, Alteplase, Ledipasvir Sofosbuvir, "
Facial Neoplasms,"Insulin Glargine,Hum.Rec.Anlog, Emtricitabine Tenofovir, Carbamazepine, Albuterol Sulfate, Bevacizumab, "
Mouth Neoplasms,"Dimethyl Fumarate, Clomipramine HCL, "
Laryngeal Neoplasms,"Trastuzumab, Captopril, Gemcitabine HCl, "
Oropharyngeal Neoplasms,"Pegfilgrastim, Immun Glob G (IGG) Gly Iga 50+, Aflibercept, Rosuvastatin Calcium, Octreotide Acetate,mi-Spheres, Pneumococcal 13-Valent Vaccine, "
Hematologic Neoplasms,"Bexarotene, "
Brain Neoplasms,"Capecitabine, Sirolimus, "
Cerebral Ventricle Neoplasms,"Ranibizumab, Glatiramer Acetate, Propranolol HCl, "
Meningeal Neoplasms,"Esomeprazole Magnesium, Pneumococcal 13-Valent Vaccine, Naproxen Esomeprazole Mag, Ambrisentan, Diclofenac Sodium, Mitomycin, "
Spinal Cord Neoplasms,"Cyclophosphamide, Prednisolone Acetate, Albuterol Sulfate, "
Muscle Neoplasms,"Ibrutinib, Memantine HCl, Daptomycin, Emtricitabine Tenofovir, Immun Glob G(IGG) Malt Iga 50+, "
Heart Neoplasms,"Daptomycin, Aripiprazole, Sitagliptin Phosphate, Bosentan, Ursodiol, "
Mediastinal Neoplasms,"Dimethyl Fumarate, Denosumab, Etanercept, Raltegravir Potassium, Adalimumab, "
Lung Neoplasms,"Memantine HCl, Ursodiol, Formoterol Fumarate, Treprostinil Sodium, "
Carcinoma Non-Small-Cell Lung,"Bendamustine HCl, Bexarotene, Ibrutinib, Immun Glob G (IGG) Gly Iga 50+, Pneumococcal 13-Valent Vaccine, "
Thymus Neoplasms,"Cyclophosphamide, Metformin HCl, Immun Glob G (IGG) Gly Iga 50+, Immun Glob G(IGG) Malt Iga 50+, Natalizumab, "
Uterine Neoplasms,"Adalimumab, Treprostinil Treprostinil Neb Accessories Treprostinil Nebulizer Accesor, Rituximab, Arformoterol Tartrate, Trastuzumab, Sirolimus, "
Prostatic Neoplasms,"Mitomycin, Insulin Glargine,Hum.Rec.Anlog, Everolimus, Pneumococcal 13-Valent Vaccine, "
Urologic Neoplasms,"Sitagliptin Phosphate, Rosuvastatin Calcium, "
Kidney Neoplasms,"Chlorpromazine HCl, Trastuzumab, "
Neoplasms Multiple Primary,"Arformoterol Tartrate, Clobetasol Propionate, Divalproex Sodium, Epoetin alfa, Abiraterone Acetate, Infliximab, "
Neoplasm Recurrence Local,"Ambrisentan, Methylprednisolone Acetate (40 mg), Doxazosin Mesylate, "
Paraneoplastic Syndromes,"Duloxetine HCl, Clobetasol Propionate, Octreotide Acetate, "
Acrocephalosyndactylia,"Bevacizumab, Clobetasol Propionate, Arformoterol Tartrate, Sipuleucel-T Lactated Ringers, Propranolol HCl, Daptomycin, "
Marfan Syndrome,"Aminolevulinic Acid HCl, Certolizumab Pegol, Treprostinil Treprostinil Neb Accessories Treprostinil Nebulizer Accesor, Thyrotropin Alfa, Carfilzomib, Teriparatide, "
Acromegaly,"Aripiprazole, Ledipasvir Sofosbuvir, Bexarotene, Efavirenz Emtricitab Tenofovir, Aflibercept, "
Osteoporosis Postmenopausal,"Bexarotene, Immun Glob G(IGG) Malt Iga 50+, Imatinib Mesylate, Dimethyl Fumarate, Naproxen Esomeprazole Mag, Gemcitabine HCl, "
