disease,symptoms
Delirium,Asthenia Fever Fever of Unknown Origin Hypothermia Body Weight Weight Loss Cachexia Obesity Cardiac Output Low Eye Manifestations Fatigue Mobility Limitation Motion Sickness Neurologic Manifestations Ataxia Cerebellar Ataxia Dystonia Hyperkinesis Hypokinesia Myoclonus Psychomotor Agitation Akathisia Drug-Induced Tremor Gait Disorders Neurologic Apraxias Catatonia Communication Disorders Language Disorders Agraphia Anomia Speech Disorders Aphasia Dysarthria Mutism Confusion Delirium Consciousness Disorders Unconsciousness Coma Syncope Lethargy Memory Disorders Amnesia Mental Retardation Perceptual Disorders Auditory Perceptual Disorders Hallucinations Psychomotor Disorders Muscle Rigidity Muscle Hypotonia Muscle Weakness Muscular Atrophy Spasm Pain Back Pain Headache Neuralgia Pain Intractable Paralysis Ophthalmoplegia Quadriplegia Psychophysiologic Disorders Reflex Abnormal Reflex Babinski Seizures Dizziness Hearing Disorders Hearing Loss Hearing Loss Functional Hearing Loss Sensorineural Tinnitus Paresthesia Vision Disorders Blindness Hemianopsia Sleep Disorders Sleep Deprivation Urinary Bladder Neurogenic Vertigo Dysphonia Abdominal Pain Colic Arthralgia Pain Postoperative Anorexia Constipation Diarrhea Dyspepsia Hyperphagia Nausea Postoperative Nausea and Vomiting Vomiting Anoxia Cheyne-Stokes Respiration Cough Dyspnea Hypocapnia Pruritus Proteinuria Urinary Bladder Overactive Urinary Incontinence 
Consciousness Disorders,Asthenia Fever Fever of Unknown Origin Hypothermia Edema Fatigue Fetal Distress Decerebrate State Ataxia Cerebellar Ataxia Catalepsy Dystonia Myoclonus Psychomotor Agitation Tremor Apraxias Catatonia Communication Disorders Language Development Disorders Speech Disorders Aphasia Dysarthria Mutism Learning Disorders Confusion Delirium Consciousness Disorders Unconsciousness Coma Persistent Vegetative State Stupor Syncope Syncope Vasovagal Memory Disorders Amnesia Amnesia Retrograde Mental Retardation Perceptual Disorders Hallucinations Illusions Psychomotor Disorders Muscle Cramp Muscle Hypertonia Muscle Rigidity Muscle Spasticity Muscle Hypotonia Muscle Weakness Muscular Atrophy Pain Back Pain Headache Neuralgia Sciatica Paralysis Hemiplegia Ophthalmoplegia Supranuclear Palsy Progressive Paraplegia Quadriplegia Paresis Psychophysiologic Disorders Reflex Abnormal Reflex Babinski Seizures Sensation Disorders Dizziness Hearing Loss Sensorineural Hypesthesia Paresthesia Taste Disorders Vision Disorders Diplopia Hemianopsia Scotoma Sleep Disorders Sleep Deprivation Vertigo Abdominal Pain Pain Postoperative Constipation Diarrhea Gagging Hiccup Nausea Vomiting Hyperemesis Gravidarum Anoxia Apnea Cough Hypercapnia Hyperventilation Hypocapnia Hypoventilation Jaundice Purpura Thrombotic Thrombocytopenic Oliguria Urinary Incontinence 
Unconsciousness,Asthenia Fever Fever of Unknown Origin Hypothermia Body Weight Cyanosis Edema Eye Manifestations Heart Murmurs Neurologic Manifestations Cerebrospinal Fluid Rhinorrhea Decerebrate State Ataxia Hyperkinesis Myoclonus Psychomotor Agitation Meningism Apraxias Catatonia Language Disorders Speech Disorders Aphasia Dysarthria Confusion Delirium Consciousness Disorders Unconsciousness Coma Persistent Vegetative State Syncope Syncope Vasovagal Memory Disorders Amnesia Amnesia Anterograde Amnesia Retrograde Mental Retardation Perceptual Disorders Agnosia Hallucinations Psychomotor Disorders Muscle Cramp Muscle Rigidity Muscle Spasticity Muscle Hypotonia Muscle Weakness Muscular Atrophy Spasm Tetany Pain Back Pain Headache Neck Pain Neuralgia Paralysis Facial Paralysis Hemiplegia Ophthalmoplegia Respiratory Paralysis Paresis Psychophysiologic Disorders Pupil Disorders Anisocoria Miosis Reflex Abnormal Seizures Dizziness Hearing Loss Mixed Conductive-Sensorineural Hearing Loss Sudden Tinnitus Hypesthesia Paresthesia Vision Disorders Blindness Diplopia Sleep Deprivation Urinary Bladder Neurogenic Vertigo Chest Pain Angina Pectoris Pain Postoperative Anorexia Nausea Vomiting Anoxia Apnea Cough Dyspnea Hypercapnia Hyperventilation Hypocapnia Hypoventilation Skin Manifestations Jaundice Purpura Oliguria Albuminuria Urinary Incontinence 
Syncope,Asthenia Fever Fever of Unknown Origin Body Weight Weight Gain Weight Loss Cachexia Obesity Obesity Morbid Cardiac Output Low Cyanosis Edema Eye Manifestations Fatigue Flushing Heart Murmurs Systolic Murmurs Mobility Limitation Motion Sickness Neurologic Manifestations Ataxia Cerebellar Ataxia Gait Ataxia Catalepsy Dystonia Myoclonus Psychomotor Agitation Akathisia Drug-Induced Tremor Speech Disorders Dysarthria Confusion Delirium Consciousness Disorders Unconsciousness Coma Syncope Syncope Vasovagal Amnesia Mental Retardation Hallucinations Psychomotor Disorders Muscle Cramp Muscle Rigidity Muscle Hypotonia Muscle Weakness Spasm Hemifacial Spasm Tetany Orthostatic Intolerance Pain Back Pain Low Back Pain Headache Neck Pain Neuralgia Paralysis Facial Paralysis Hemiplegia Ophthalmoplegia Supranuclear Palsy Progressive Paraplegia Pseudobulbar Palsy Quadriplegia Paresis Psychophysiologic Disorders Reflex Abnormal Reflex Babinski Seizures Sensation Disorders Dizziness Hearing Disorders Hearing Loss Deafness Hearing Loss Sensorineural Hyperacusis Tinnitus Hypesthesia Paresthesia Vision Disorders Amblyopia Blindness Amaurosis Fugax Diplopia Sleep Disorders Sleep Deprivation Vertigo Abdominal Pain Chest Pain Angina Pectoris Angina Unstable Angina Pectoris Variant Pain Postoperative Anorexia Constipation Diarrhea Dyspepsia Eructation Gagging Hiccup Nausea Vomiting Hematemesis Anoxia Apnea Cough Dyspnea Hemoptysis Hyperventilation Hypocapnia Hypoventilation Sneezing Pallor Urinary Bladder Overactive Urinary Incontinence 
Amnesia,Asthenia Fever Hypothermia Body Weight Obesity Fatigue Neurologic Manifestations Ataxia Cerebellar Ataxia Athetosis Catalepsy Chorea Hyperkinesis Psychomotor Agitation Tremor Gait Disorders Neurologic Apraxias Communication Disorders Language Disorders Agraphia Anomia Dyslexia Dyslexia Acquired Language Development Disorders Speech Disorders Aphasia Aphasia Broca Aphasia Wernicke Dysarthria Learning Disorders Confusion Delirium Consciousness Disorders Unconsciousness Coma Syncope Lethargy Memory Disorders Amnesia Amnesia Anterograde Amnesia Retrograde Amnesia Transient Global Korsakoff Syndrome Mental Retardation Perceptual Disorders Agnosia Prosopagnosia Hallucinations Illusions Psychomotor Disorders Muscle Rigidity Muscle Weakness Spasm Pain Back Pain Headache Paralysis Hemiplegia Ophthalmoplegia Supranuclear Palsy Progressive Paresis Paraparesis Spastic Psychophysiologic Disorders Miosis Seizures Sensation Disorders Dizziness Hearing Disorders Deafness Olfaction Disorders Hypesthesia Vision Disorders Amblyopia Blindness Blindness Cortical Hemianopsia Photophobia Sleep Disorders Sleep Deprivation Vertigo Pain Postoperative Diarrhea Hyperphagia Bulimia Nausea Postoperative Nausea and Vomiting Vomiting Anoxia Cough Urinary Incontinence 
Perceptual Disorders,Asthenia Hypothermia Body Weight Weight Gain Overweight Obesity Eye Manifestations Eye Pain Fatigue Mental Fatigue Flushing Motion Sickness Neurologic Manifestations Dyskinesias Ataxia Cerebellar Ataxia Athetosis Dystonia Torticollis Hyperkinesis Hypokinesia Myoclonus Akathisia Drug-Induced Tremor Gait Disorders Neurologic Neurobehavioral Manifestations Apraxias Language Disorders Agraphia Anomia Dyslexia Dyslexia Acquired Alexia Pure Language Development Disorders Speech Disorders Aphasia Aphasia Broca Aphasia Wernicke Articulation Disorders Stuttering Learning Disorders Confusion Delirium Consciousness Disorders Coma Memory Disorders Amnesia Amnesia Retrograde Mental Retardation Perceptual Disorders Agnosia Gerstmann Syndrome Prosopagnosia Auditory Perceptual Disorders Hallucinations Illusions Phantom Limb Psychomotor Disorders Apraxia Ideomotor Muscle Spasticity Muscle Weakness Muscular Atrophy Hemifacial Spasm Pain Low Back Pain Headache Neuralgia Neuralgia Postherpetic Pain Intractable Paralysis Hemiplegia Ophthalmoplegia Supranuclear Palsy Progressive Paraplegia Quadriplegia Paresis Psychophysiologic Disorders Pupil Disorders Reflex Abnormal Seizures Sensation Disorders Dizziness Hearing Disorders Hearing Loss Deafness Deaf-Blind Disorders Hearing Loss Bilateral Hearing Loss Conductive Hearing Loss Functional Hearing Loss Sensorineural Hearing Loss Central Hearing Loss Noise-Induced Presbycusis Hearing Loss Unilateral Tinnitus Olfaction Disorders Somatosensory Disorders Hyperalgesia Hypesthesia Paresthesia Taste Disorders Vision Disorders Amblyopia Blindness Blindness Cortical Color Vision Defects Diplopia Hemianopsia Photophobia Scotoma Vision Low Sleep Disorders Sleep Deprivation Vertigo Voice Disorders Abdominal Pain Colic Shoulder Pain Chest Pain Toothache Pain Postoperative Pseudophakia Dyspepsia Bulimia Nausea Anoxia Pruritus 
Hallucinations,Asthenia Fever Hypothermia Birth Weight Obesity Edema Eye Manifestations Fatigue Heart Murmurs Motion Sickness Neurologic Manifestations Dyskinesias Ataxia Cerebellar Ataxia Athetosis Catalepsy Chorea Dystonia Hyperkinesis Myoclonus Psychomotor Agitation Akathisia Drug-Induced Tremor Gait Disorders Neurologic Apraxias Catatonia Language Disorders Agraphia Anomia Dyslexia Dyslexia Acquired Alexia Pure Speech Disorders Aphasia Aphasia Wernicke Articulation Disorders Dysarthria Mutism Learning Disorders Confusion Delirium Consciousness Disorders Unconsciousness Coma Syncope Memory Disorders Amnesia Mental Retardation Perceptual Disorders Agnosia Prosopagnosia Auditory Perceptual Disorders Hallucinations Illusions Phantom Limb Psychomotor Disorders Muscle Cramp Muscle Rigidity Muscle Spasticity Muscle Weakness Pain Back Pain Low Back Pain Facial Pain Headache Sciatica Paralysis Hemiplegia Ophthalmoplegia Supranuclear Palsy Progressive Paraplegia Quadriplegia Paresis Paraparesis Psychophysiologic Disorders Reflex Abnormal Seizures Sensation Disorders Dizziness Hearing Disorders Hearing Loss Deafness Hearing Loss Bilateral Hearing Loss Conductive Hearing Loss Sensorineural Hearing Loss Noise-Induced Presbycusis Usher Syndromes Tinnitus Olfaction Disorders Somatosensory Disorders Hyperesthesia Paresthesia Taste Disorders Ageusia Vision Disorders Amblyopia Blindness Amaurosis Fugax Blindness Cortical Color Vision Defects Diplopia Hemianopsia Photophobia Scotoma Vision Low Sleep Disorders Sleep Deprivation Vertigo Aphonia Abdominal Pain Colic Chest Pain Angina Pectoris Pain Postoperative Constipation Coprophagia Diarrhea Halitosis Nausea Vomiting Anoxia Apnea Cough Dyspnea Hyperventilation Skin Manifestations Pruritus Hypercalciuria Polyuria Urinary Incontinence 
Psychomotor Disorders,Asthenia Fever Hypothermia Body Weight Birth Weight Weight Loss Overweight Obesity Obesity Morbid Cyanosis Hydrops Fetalis Eye Manifestations Fatigue Fetal Distress Mobility Limitation Neurologic Manifestations Dyskinesias Ataxia Cerebellar Ataxia Athetosis Catalepsy Chorea Dystonia Torticollis Hyperkinesis Hypokinesia Myoclonus Psychomotor Agitation Akathisia Drug-Induced Tics Tremor Gait Disorders Neurologic Gait Apraxia Meningism Apraxias Catatonia Communication Disorders Language Disorders Agraphia Anomia Dyslexia Language Development Disorders Speech Disorders Aphasia Articulation Disorders Dysarthria Echolalia Mutism Stuttering Learning Disorders Confusion Delirium Consciousness Disorders Unconsciousness Coma Syncope Lethargy Memory Disorders Amnesia Mental Retardation Perceptual Disorders Agnosia Gerstmann Syndrome Auditory Perceptual Disorders Hallucinations Illusions Psychomotor Disorders Muscle Cramp Muscle Hypertonia Muscle Rigidity Muscle Spasticity Muscle Hypotonia Muscle Weakness Spasm Tetany Pain Neck Pain Neuralgia Pain Intractable Paralysis Facial Paralysis Hemiplegia Ophthalmoplegia Supranuclear Palsy Progressive Paraplegia Quadriplegia Vocal Cord Paralysis Paresis Psychophysiologic Disorders Reflex Abnormal Seizures Sensation Disorders Dizziness Hearing Disorders Hearing Loss Deafness Hearing Loss Bilateral Hearing Loss Sensorineural Hearing Loss Central Olfaction Disorders Somatosensory Disorders Hypesthesia Paresthesia Vision Disorders Amblyopia Blindness Blindness Cortical Hemianopsia Scotoma Sleep Disorders Sleep Deprivation Vertigo Voice Disorders Abdominal Pain Pain Postoperative Anorexia Constipation Diarrhea Diarrhea Infantile Encopresis Bulimia Vomiting Anoxia Fetal Hypoxia Apnea Hyperventilation Mouth Breathing Proteinuria Albuminuria Urinary Incontinence 
Apraxias,Asthenia Eye Manifestations Neurologic Manifestations Dyskinesias Ataxia Cerebellar Ataxia Gait Ataxia Athetosis Chorea Dystonia Torticollis Hyperkinesis Myoclonus Tremor Gait Disorders Neurologic Gait Apraxia Apraxias Communication Disorders Language Disorders Agraphia Anomia Dyslexia Dyslexia Acquired Language Development Disorders Speech Disorders Aphasia Aphasia Broca Aphasia Conduction Aphasia Primary Progressive Primary Progressive Nonfluent Aphasia Aphasia Wernicke Articulation Disorders Dysarthria Mutism Stuttering Learning Disorders Confusion Delirium Consciousness Disorders Unconsciousness Coma Memory Disorders Amnesia Mental Retardation Perceptual Disorders Agnosia Gerstmann Syndrome Auditory Perceptual Disorders Hallucinations Phantom Limb Psychomotor Disorders Apraxia Ideomotor Fasciculation Muscle Rigidity Muscle Hypotonia Muscle Weakness Muscular Atrophy Myotonia Spasm Hemifacial Spasm Pain Headache Paralysis Facial Paralysis Hemiplegia Ophthalmoplegia Ophthalmoplegia Chronic Progressive External Supranuclear Palsy Progressive Paresis Psychophysiologic Disorders Reflex Abnormal Seizures Sensation Disorders Hearing Disorders Deafness Hearing Loss Sensorineural Olfaction Disorders Somatosensory Disorders Hypesthesia Paresthesia Vision Disorders Blindness Hemianopsia Sleep Disorders Voice Disorders Aphonia Hoarseness Diarrhea Apnea Urinary Incontinence 
Muscular Atrophy,Asthenia Fever Hypothermia Body Weight Weight Gain Weight Loss Emaciation Cachexia Overweight Obesity Thinness Cardiac Output Low Cyanosis Edema Hydrops Fetalis Eye Manifestations Fatigue Feminization Hypergammaglobulinemia Intermittent Claudication Mobility Limitation Neurologic Manifestations Decerebrate State Ataxia Cerebellar Ataxia Athetosis Chorea Dystonia Torticollis Hypokinesia Myoclonus Tremor Gait Disorders Neurologic Apraxias Speech Disorders Aphasia Articulation Disorders Dysarthria Delirium Consciousness Disorders Unconsciousness Coma Mental Retardation Perceptual Disorders Agnosia Auditory Perceptual Disorders Fasciculation Muscle Cramp Muscle Hypertonia Muscle Rigidity Muscle Spasticity Muscle Hypotonia Muscle Weakness Muscular Atrophy Sarcopenia Myokymia Myotonia Spasm Tetany Pain Back Pain Low Back Pain Facial Pain Headache Neck Pain Neuralgia Sciatica Pain Referred Paralysis Facial Paralysis Hemiplegia Ophthalmoplegia Ophthalmoplegia Chronic Progressive External Supranuclear Palsy Progressive Paraplegia Quadriplegia Respiratory Paralysis Vocal Cord Paralysis Paresis Psychophysiologic Disorders Pupil Disorders Reflex Abnormal Seizures Sensation Disorders Hearing Loss Deafness Hearing Loss Sensorineural Hearing Loss Central Hearing Loss Unilateral Tinnitus Somatosensory Disorders Hyperalgesia Hyperesthesia Hypesthesia Paresthesia Vision Disorders Blindness Color Vision Defects Diplopia Scotoma Sleep Disorders Urinary Bladder Neurogenic Voice Disorders Dysphonia Arthralgia Shoulder Pain Pain Postoperative Anorexia Diarrhea Vomiting Anoxia Apnea Cough Hypoventilation Skin Manifestations Ecchymosis Proteinuria Urinary Incontinence 
Spasm,Asthenia Fever Hypothermia Body Weight Weight Loss Obesity Cyanosis Edema Eye Manifestations Fatigue Intermittent Claudication Neurologic Manifestations Cerebrospinal Fluid Rhinorrhea Decerebrate State Dyskinesias Ataxia Athetosis Chorea Dystonia Torticollis Hyperkinesis Myoclonus Psychomotor Agitation Akathisia Drug-Induced Tics Tremor Gait Disorders Neurologic Apraxias Catatonia Language Disorders Agraphia Dyslexia Acquired Speech Disorders Aphasia Aphasia Broca Dysarthria Coma Syncope Memory Disorders Amnesia Anterograde Mental Retardation Phantom Limb Psychomotor Disorders Fasciculation Muscle Cramp Muscle Hypertonia Muscle Rigidity Muscle Spasticity Muscle Hypotonia Muscle Weakness Muscular Atrophy Myokymia Myotonia Spasm Hemifacial Spasm Trismus Tetany Pain Back Pain Low Back Pain Facial Pain Headache Neck Pain Neuralgia Sciatica Pain Intractable Pain Referred Paralysis Facial Paralysis Hemiplegia Ophthalmoplegia Paraplegia Quadriplegia Respiratory Paralysis Paresis Psychophysiologic Disorders Pupil Disorders Miosis Horner Syndrome Reflex Abnormal Seizures Dizziness Hearing Disorders Hearing Loss Deafness Hearing Loss Sensorineural Tinnitus Hyperalgesia Hyperesthesia Hypesthesia Paresthesia Vision Disorders Blindness Diplopia Hemianopsia Scotoma Urinary Bladder Neurogenic Vertigo Voice Disorders Aphonia Dysphonia Abdominal Pain Abdomen Acute Colic Shoulder Pain Chest Pain Angina Pectoris Angina Unstable Angina Pectoris Variant Earache Pain Postoperative Pelvic Pain Dysmenorrhea Constipation Diarrhea Dyspepsia Flatulence Gagging Heartburn Hiccup Nausea Postoperative Nausea and Vomiting Vomiting Hematemesis Anoxia Apnea Cheyne-Stokes Respiration Cough Dyspnea Dyspnea Paroxysmal Hypercapnia Hyperventilation Respiratory Sounds Pruritus Purpura Purpura Thrombocytopenic Urinary Incontinence 
Tetany,Asthenia Fever Body Weight Birth Weight Emaciation Cardiac Output Low Cyanosis Edema Fatigue Neurologic Manifestations Athetosis Chorea Dystonia Myoclonus Tremor Speech Disorders Stuttering Unconsciousness Coma Syncope Mental Retardation Psychomotor Disorders Fasciculation Muscle Cramp Muscle Hypertonia Muscle Spasticity Muscle Hypotonia Muscular Atrophy Myotonia Spasm Tetany Pain Back Pain Headache Paralysis Facial Paralysis Paraplegia Quadriplegia Vocal Cord Paralysis Psychophysiologic Disorders Reflex Abnormal Seizures Dizziness Paresthesia Diplopia Vertigo Oral Manifestations Abdominal Pain Abdomen Acute Angina Pectoris Constipation Diarrhea Diarrhea Infantile Bulimia Vomiting Anoxia Apnea Dyspnea Paroxysmal Hyperventilation Hypocapnia Hypoventilation Polyuria 
