Erythema multiforme,Skin rash,Fever,Itching of skin,Coryza,Skin lesion,Vomiting,Mouth ulcer,Skin pain,Pain in eye,Fluid retention,Allergic reaction,Difficulty in swallowing
Scoliosis,Back pain,Low back pain,Leg pain,Problems with movement,Lower body pain,Leg weakness,Knee swelling,Unusual color or odor to urine,Knee stiffness or tightness,Foot or toe stiffness or tightness,Muscle cramps;contractures;or spasms,Stomach bloating
Bunion,Foot or toe pain,Foot or toe lump or mass,Knee pain,Problems with movement,Skin on leg or foot looks infected,Skin moles,Leg swelling,Stiffness all over,Skin growth,Pain or soreness of breast,Skin irritation,Foot or toe swelling
Arrhythmia,Palpitations,Sharp chest pain,Dizziness,Irregular heartbeat,Increased heart rate,Shortness of breath,Difficulty breathing,Fainting,Weakness,Chest tightness,Fatigue,Leg cramps or spasms
Paget disease,Abnormal breathing sounds,Back pain,Apnea,Low back pain,Frequent urination,Sleepiness,Abnormal appearing skin,Ache all over,Ringing in ear,Delusions or hallucinations,Elbow cramps or spasms,Nailbiting
Trigeminal neuralgia,Facial pain,Headache,Dizziness,Loss of sensation,Symptoms of the face,Ache all over,Pain in eye,Toothache,Paresthesia,Abnormal involuntary movements,Swollen eye,Tongue pain
Ankylosing spondylitis,Back pain,Low back pain,Hip pain,Leg pain,Knee pain,Ache all over,Elbow pain,Lower body pain,Joint pain,Paresthesia,Rib pain,Stiffness all over
Peripheral nerve disorder,Loss of sensation,Leg pain,Paresthesia,Foot or toe pain,Dizziness,Back pain,Problems with movement,Arm pain,Abnormal involuntary movements,Leg weakness,Disturbance of memory,Arm weakness
Sebaceous cyst,Skin growth,Skin swelling,Skin lesion,Abnormal appearing skin,Neck mass,Back mass or lump,Acne or pimples,Arm lump or mass,Lump or mass of breast,Skin moles,Irregular appearing scalp,Hand or finger lump or mass
Poisoning due to antipsychotics,Anxiety and nervousness,Depressive or psychotic symptoms,Depression,Delusions or hallucinations,Sleepiness,Dizziness,Tongue lesions,Sharp chest pain,Difficulty speaking,Fainting,Insomnia,Chest tightness
Behcet disease,Vomiting,Upper abdominal pain,Sharp abdominal pain,Diarrhea,Depression,Anxiety and nervousness,Diminished vision,Mouth ulcer,Cough,Neck pain,Blindness,Shortness of breath
Neurosis,Depressive or psychotic symptoms,Depression,Anxiety and nervousness,Hostile behavior,Delusions or hallucinations,Headache,Excessive anger,Insomnia,Drug abuse,Obsessions and compulsions,Temper problems,Smoking problems
Prostate cancer,Retention of urine,Blood in urine,Symptoms of prostate,Frequent urination,Involuntary urination,Impotence,Excessive urination at night,Flushing,Symptoms of bladder,Pain during intercourse
Cerebral edema,Headache,Neck pain,Focal weakness,Diminished vision,Vomiting,Difficulty speaking,Loss of sensation,Nausea,Problems with movement,Dizziness,Muscle stiffness or tightness,Arm pain
Dislocation of the finger,Hand or finger pain,Hand or finger swelling,Hand or finger stiffness or tightness,Wrist pain,Difficulty speaking,Joint pain,Hysterical behavior
Birth trauma,Arm stiffness or tightness,Seizures,Lack of growth,Depressive or psychotic symptoms,Nasal congestion,Difficulty speaking,Pus in sputum,Emotional symptoms,Itching of scrotum,Muscle swelling,Elbow cramps or spasms,Low back weakness
Chronic pancreatitis,Sharp abdominal pain,Vomiting,Nausea,Ache all over,Burning abdominal pain,Diarrhea,Back pain,Upper abdominal pain,Abusing alcohol,Regurgitation,Leg weakness,Skin growth
Hematoma,Sharp abdominal pain,Ache all over,Groin pain,Peripheral edema,Lump or mass of breast,Abnormal appearing skin,Arm swelling,Fluid retention,Swelling of scrotum,Lymphedema,Abdominal distention,Skin swelling
Carcinoid syndrome,Involuntary urination,Knee lump or mass,Neck cramps or spasms,Excessive growth,Vulvar sore,Loss of sex drive,Eye strain,Shoulder swelling,Nailbiting,Wrist weakness,Joint stiffness or tightness,Itchy eyelid
Open wound of the head,Headache,Abusing alcohol
Seborrheic keratosis,Skin lesion,Abnormal appearing skin,Skin moles,Skin growth,Skin dryness;peeling;scaliness;or roughness,Itching of skin,Skin rash,Skin swelling,Skin irritation,Irregular appearing scalp,Warts,Acne or pimples
Burn,Knee pain,Headache,Hand or finger pain,Wrist pain,Elbow pain,Bleeding from ear,Skin irritation,Penis redness,Wrist swelling
Spontaneous abortion,Spotting or bleeding during pregnancy,Sharp abdominal pain,Pain during pregnancy,Cramps and spasms,Lower abdominal pain,Pelvic pain,Problems during pregnancy,Burning abdominal pain,Uterine contractions,Intermenstrual bleeding,Blood clots during menstrual periods,Heavy menstrual flow
Genital herpes,Skin rash,Painful urination,Vaginal pain,Vaginal discharge,Pelvic pain,Skin lesion,Vaginal itching,Groin pain,Suprapubic pain,Itching of skin,Recent pregnancy,Skin pain
Adjustment reaction,Depression,Depressive or psychotic symptoms,Anxiety and nervousness,Excessive anger,Hostile behavior,Insomnia,Low self-esteem,Delusions or hallucinations,Temper problems,Fears and phobias,Restlessness,Nightmares
Gallstone,Sharp abdominal pain,Upper abdominal pain,Nausea,Vomiting,Back pain,Burning abdominal pain,Sharp chest pain,Side pain,Lower body pain,Heartburn,Sweating,Regurgitation
Multiple sclerosis,Fatigue,Loss of sensation,Headache,Dizziness,Problems with movement,Weakness,Leg weakness,Paresthesia,Disturbance of memory,Abnormal involuntary movements,Leg stiffness or tightness,Focal weakness
Zenker diverticulum,Difficulty in swallowing,Sharp chest pain,Regurgitation,Low back pain,Sharp abdominal pain,Sore throat,Constipation,Elbow weakness,Low back weakness,Wrist weakness,Feeling hot and cold,Nailbiting
Fracture of the pelvis,Hip pain,Groin pain,Back pain,Leg pain,Ache all over,Side pain,Problems with movement,Knee pain,Delusions or hallucinations,Difficulty speaking,Bones are painful,Focal weakness
Pneumoconiosis,Cough,Wheezing,Shortness of breath,Fever,Insomnia,Nasal congestion,Vomiting,Sore throat,Difficulty breathing,Dizziness,Coughing up sputum,Chest tightness
Hyperlipidemia,Sharp chest pain,Weight gain,Lymphedema,Smoking problems,Leg cramps or spasms
Ulcerative colitis,Diarrhea,Sharp abdominal pain,Blood in stool,Nausea,Vomiting,Burning abdominal pain,Rectal bleeding,Lower abdominal pain,Melena,Decreased appetite,Swollen lymph nodes,Discharge in stools
Male genitalia infection,Penis redness,Swelling of scrotum,Pain in testicles,Mass in scrotum,Skin growth,Abnormal appearing skin,Penis pain,Bumps on penis,Warts,Groin pain,Irritable infant,Swollen abdomen
HPV,Warts,Frequent urination,Vaginal itching,Vaginal discharge,Joint pain,Hand or finger lump or mass,Mass or swelling around the anus,Lump or mass of breast,Involuntary urination,Eyelid lesion or rash,Unpredictable menstruation,Coughing up sputum
Angina,Sharp chest pain,Shortness of breath,Chest tightness,Dizziness,Arm pain,Lower body pain,Palpitations,Sweating,Irregular heartbeat,Increased heart rate,Burning chest pain,Hot flashes
Injury to the spinal cord,Neck pain,Neck cramps or spasms,Back pain,Shoulder pain,Headache,Throat irritation,Retention of urine,Foot or toe weakness,Arm pain,Arm weakness,Side pain,Drainage in throat
Nasal polyp,Nasal congestion,Headache,Nosebleed,Painful sinuses,Cough,Difficulty breathing,Allergic reaction,Facial pain,Disturbance of smell or taste,Frontal headache,Hoarse voice,Redness in ear
Lichen simplex,Skin rash,Itching of skin,Skin lesion,Skin irritation,Acne or pimples,Vaginal itching,Itchy scalp,Skin growth,Skin dryness;peeling;scaliness;or roughness,Loss of sex drive,Pain during intercourse,Difficulty speaking
Trichiasis,Foreign body sensation in eye,Eyelid lesion or rash,Diminished vision,Symptoms of eye,Itchiness of eye,Pain in eye,Eye redness,Swollen eye,Emotional symptoms,Back weakness,Elbow cramps or spasms,Pus in sputum
Acariasis,Skin rash,Itching of skin,Swelling of scrotum,Skin lesion,Vomiting,Elbow weakness,Cross-eyed,Excessive growth,Bowlegged or knock-kneed,Feeling hot and cold,Wrist weakness,Emotional symptoms
Colorectal cancer,Sharp abdominal pain,Rectal bleeding,Blood in stool,Pain of the anus,Mass or swelling around the anus,Drainage in throat
Skin pigmentation disorder,Abnormal appearing skin,Skin rash,Skin lesion,Skin moles,Acne or pimples,Skin growth,Itching of skin,Skin swelling,Skin dryness;peeling;scaliness;or roughness,Warts,Too little hair,Irregular appearing scalp
Factitious disorder,Disturbance of memory,Depressive or psychotic symptoms,Depression,Loss of sensation,Paresthesia,Lip swelling,Itchy eyelid,Wrist weakness,Excessive growth,Elbow cramps or spasms,Elbow weakness,Nailbiting
Lymphogranuloma venereum,Sore throat,Nosebleed,Fever,Chills,Ear pain,Vulvar sore,Pelvic pressure,Knee lump or mass,Shoulder swelling,Neck cramps or spasms,Excessive growth,Loss of sex drive
Galactorrhea of unknown cause,Bleeding or discharge from nipple,Pain or soreness of breast,Pelvic pain,Weight gain,Anxiety and nervousness,Back pain,Lump or mass of breast,Sharp chest pain,Burning abdominal pain,Cough,Low back weakness,Emotional symptoms
Cough,Nasal congestion,Excessive growth,Wrist weakness,Elbow weakness,Elbow cramps or spasms,Feeling hot and cold,Emotional symptoms,Low back weakness,Underweight,Nailbiting,Muscle swelling
Nerve impingement near the shoulder,Shoulder pain,Knee pain,Neck pain,Arm pain,Shoulder stiffness or tightness,Problems with movement,Elbow pain,Shoulder weakness,Hand or finger stiffness or tightness,Vulvar irritation,Muscle pain,Bones are painful
Toxoplasmosis,Eye redness,Diminished vision,Itchy scalp,Blindness,Irregular appearing scalp,Elbow weakness,Cross-eyed,Excessive growth,Bowlegged or knock-kneed,Feeling hot and cold,Wrist weakness,Emotional symptoms
Fibroadenoma,Lump or mass of breast,Pain or soreness of breast,Bleeding or discharge from nipple,Arm lump or mass,Bones are painful,Problems with shape or size of breast,Hot flashes,Pain during intercourse,Back swelling,Throat irritation,Vaginal dryness
Open wound of the hand,Hand or finger pain,Hand or finger swelling,Skin on arm or hand looks infected,Hand or finger stiffness or tightness
Missed abortion,Spotting or bleeding during pregnancy,Sharp abdominal pain,Pain during pregnancy,Lower abdominal pain,Problems during pregnancy,Cramps and spasms,Intermenstrual bleeding,Blood clots during menstrual periods,Heavy menstrual flow,Blood in stool,Recent pregnancy,Infertility
Diabetic ketoacidosis,Vomiting,Nausea,Weakness,Sharp abdominal pain,Sharp chest pain,Diarrhea,Depressive or psychotic symptoms,Decreased appetite,Thirst,Polyuria,Frequent urination,Fluid retention
Granuloma inguinale,Nausea,Sharp chest pain,Groin pain,Vaginal pain,Vulvar sore,Loss of sex drive,Knee lump or mass,Nailbiting,Excessive growth,Wrist weakness,Shoulder swelling,Neck cramps or spasms
Hemorrhagic fever,Pain in eye,Shoulder cramps or spasms,Facial pain,Ankle pain,Wrist pain,Pain during pregnancy,Excessive anger,Joint stiffness or tightness,Pain or soreness of breast,Knee lump or mass,Fatigue,Excessive urination at night
Obsessive compulsive disorder (OCD),Anxiety and nervousness,Depression,Depressive or psychotic symptoms,Obsessions and compulsions,Temper problems,Hostile behavior,Low self-esteem,Excessive anger,Feeling ill,Fears and phobias,Hysterical behavior,Lack of growth
Injury of the ankle,Ankle pain,Foot or toe pain,Ankle swelling,Leg pain,Foot or toe swelling,Joint pain,Foot or toe weakness,Leg cramps or spasms,Ankle stiffness or tightness,Wrist swelling,Foot or toe lump or mass
Hyponatremia,Weakness,Vomiting,Nausea,Shortness of breath,Dizziness,Sharp abdominal pain,Sharp chest pain,Headache,Back pain,Fever,Fainting,Seizures
Stricture of the esophagus,Difficulty in swallowing,Vomiting,Regurgitation,Lump in throat,Sharp chest pain,Nausea,Difficulty eating,Heartburn,Coughing up sputum,Stomach bloating,Problems with movement,Recent weight loss
Fracture of the ankle,Ankle pain,Ankle swelling,Leg pain,Foot or toe pain,Foot or toe swelling,Ankle weakness,Knee weakness
Soft tissue sarcoma,Skin lesion,Abnormal appearing skin,Skin growth,Skin moles,Itching of skin,Skin dryness;peeling;scaliness;or roughness,Leg lump or mass,Warts,Groin mass,Irregular appearing nails,Change in skin mole size or color,Bones are painful
Bone disorder,Back pain,Knee pain,Leg pain,Shoulder pain,Bones are painful,Leg cramps or spasms,Leg weakness,Difficulty speaking,Hot flashes,Stiffness all over,Leg lump or mass,Muscle stiffness or tightness
Epilepsy,Seizures,Headache,Abnormal involuntary movements,Disturbance of memory,Difficulty speaking,Lack of growth,Stiffness all over,Eye moves abnormally,Muscle weakness
Personality disorder,Depressive or psychotic symptoms,Depression,Anxiety and nervousness,Hostile behavior,Insomnia,Excessive anger,Low self-esteem,Delusions or hallucinations,Drug abuse,Fears and phobias,Temper problems,Obsessions and compulsions
Shingles (herpes zoster),Skin rash,Back pain,Skin lesion,Itching of skin,Ache all over,Headache,Sharp abdominal pain,Side pain,Sharp chest pain,Abnormal appearing skin,Pain in eye,Facial pain
Tourette syndrome,Abnormal involuntary movements,Depressive or psychotic symptoms,Headache,Allergic reaction,Drug abuse,Sleepiness,Abnormal movement of eyelid,Excessive anger,Delusions or hallucinations,Obsessions and compulsions,Temper problems,Warts
Avascular necrosis,Hip pain,Knee pain,Shoulder pain,Drug abuse,Bowlegged or knock-kneed,Shoulder stiffness or tightness,Shoulder weakness
Strep throat,Sore throat,Fever,Cough,Headache,Vomiting,Ear pain,Nasal congestion,Skin rash,Ache all over,Difficulty in swallowing,Chills,Decreased appetite
Spinocerebellar ataxia,Problems with movement,Dizziness,Abnormal involuntary movements,Skin rash,Fainting,Difficulty speaking,Headache,Blood in urine,Foot or toe pain,Cough,Anxiety and nervousness,Disturbance of memory
Osteomyelitis,Skin lesion,Skin on leg or foot looks infected,Hand or finger pain,Hand or finger swelling,Difficulty speaking,Foot or toe swelling,Knee swelling,Bones are painful,Skin on arm or hand looks infected,Irregular appearing nails,Arm swelling,Lymphedema
Sjogren syndrome,Symptoms of eye,Diminished vision,Ache all over,Joint pain,Pain in eye,Peripheral edema,Mouth dryness,Spots or clouds in vision,Itchiness of eye,Difficulty in swallowing,Regurgitation,Groin pain
Adhesive capsulitis of the shoulder,Shoulder pain,Shoulder stiffness or tightness,Neck pain,Ache all over,Elbow pain,Arm pain,Skin on arm or hand looks infected,Shoulder swelling,Stiffness all over,Muscle pain,Ankle stiffness or tightness
Viral hepatitis,Sharp abdominal pain,Abusing alcohol,Drug abuse,Melena,Stomach bloating,Symptoms of the kidneys,Hand or finger stiffness or tightness,Low self-esteem,Incontinence of stool
Tonsillar hypertrophy,Swollen or red tonsils,Abnormal breathing sounds,Sore throat,Nasal congestion,Apnea,Cough,Redness in ear,Hurts to breath,Fever,Drainage in throat,Allergic reaction,Difficulty in swallowing
Gastritis,Sharp abdominal pain,Vomiting,Nausea,Burning abdominal pain,Sharp chest pain,Upper abdominal pain,Diarrhea,Fever,Headache,Heartburn,Vomiting blood,Regurgitation
Skin cancer,Skin lesion,Abnormal appearing skin,Skin moles,Skin growth,Skin dryness;peeling;scaliness;or roughness,Skin swelling,Itching of skin,Irregular appearing scalp,Warts,Acne or pimples,Lip swelling,Skin irritation
Rheumatic fever,Itchiness of eye,Knee lump or mass,Bedwetting,Excessive growth,Pelvic pressure,Vulvar sore,Eye strain,Loss of sex drive,Neck cramps or spasms,Shoulder swelling,Joint stiffness or tightness,Nailbiting
Aphthous ulcer,Mouth ulcer,Fever,Sore throat,Mouth pain,Tongue lesions,Toothache,Ache all over,Skin rash,Headache,Lip sore,Cough,Swollen tongue
Tonsillitis,Sore throat,Swollen or red tonsils,Abnormal breathing sounds,Nasal congestion,Throat feels tight,Redness in ear,Apnea,Diminished hearing,Drainage in throat,Allergic reaction,Lump in throat,Throat redness
Intestinal cancer,Sharp abdominal pain,Diarrhea,Neck mass,Regurgitation,Foot or toe swelling,Changes in stool appearance,Lump or mass of breast,Decreased appetite,Throat feels tight,Jaundice,Mouth pain,Pain in testicles
Rocky Mountain spotted fever,Headache,Shoulder cramps or spasms,Excessive anger,Ankle pain,Wrist pain,Pain during pregnancy,Facial pain,Joint stiffness or tightness,Pain or soreness of breast,Knee lump or mass,Pain in eye,Fatigue
Stomach cancer,Sharp abdominal pain,Nausea,Vomiting,Fatigue,Weakness,Diarrhea,Burning abdominal pain,Fluid retention,Difficulty in swallowing,Constipation,Peripheral edema,Heartburn
Developmental disability,Depressive or psychotic symptoms,Seizures,Hostile behavior,Lack of growth,Difficulty speaking,Temper problems,Obsessions and compulsions,Delusions or hallucinations,Restlessness,Excessive anger,Antisocial behavior,Fears and phobias
Acute stress reaction,Anxiety and nervousness,Sharp chest pain,Headache,Depressive or psychotic symptoms,Depression,Insomnia,Dizziness,Shortness of breath,Fatigue,Burning abdominal pain,Abnormal involuntary movements,Chest tightness
Delirium,Disturbance of memory,Depressive or psychotic symptoms,Depression,Problems with movement,Hostile behavior,Delusions or hallucinations,Abnormal involuntary movements,Focal weakness,Difficulty speaking,Hysterical behavior,Disturbance of smell or taste,Slurring words
Callus,Skin growth,Foot or toe pain,Skin rash,Skin lesion,Abnormal appearing skin,Acne or pimples,Warts,Skin dryness;peeling;scaliness;or roughness,Skin swelling,Irregular appearing nails,Foot or toe swelling,Itching of skin
Guillain Barre syndrome,Leg weakness,Leg pain,Loss of sensation,Fever,Ache all over,Dizziness,Paresthesia,Hand or finger pain,Weakness,Difficulty speaking,Problems with movement,Facial pain
Lumbago,Low back pain,Back pain,Leg pain,Neck pain,Hip pain,Lower body pain,Side pain,Back cramps or spasms,Muscle pain,Low back stiffness or tightness,Low back cramps or spasms
Deviated nasal septum,Nasal congestion,Abnormal breathing sounds,Headache,Allergic reaction,Difficulty breathing,Painful sinuses,Apnea,Sore throat,Facial pain,Frontal headache,Plugged feeling in ear,Nosebleed
Hemangioma,Abnormal appearing skin,Skin lesion,Skin moles,Skin growth,Lymphedema,Skin swelling,Skin dryness;peeling;scaliness;or roughness,Skin irritation,Lip swelling,Irregular appearing scalp,Warts,Irregular appearing nails
Patau syndrome,Joint stiffness or tightness,Knee lump or mass,Eye strain,Excessive growth,Pelvic pressure,Vulvar sore,Bedwetting,Loss of sex drive,Neck cramps or spasms,Shoulder swelling,Nailbiting,Shoulder cramps or spasms
Peripheral arterial disease,Skin lesion,Leg pain,Foot or toe pain,Poor circulation,Lymphedema,Leg cramps or spasms,Feeling cold,Hemoptysis,Symptoms of the kidneys
Chronic back pain,Back pain,Low back pain,Leg pain,Neck pain,Hip pain,Loss of sensation,Side pain,Lower body pain,Groin pain,Back cramps or spasms,Leg weakness,Back stiffness or tightness
Heart failure,Shortness of breath,Sharp chest pain,Difficulty breathing,Peripheral edema,Cough,Weakness,Chest tightness,Leg swelling,Weight gain,Fluid retention,Palpitations,Hurts to breath
Conjunctivitis,Eye redness,Pain in eye,Cough,Nasal congestion,Fever,Itchiness of eye,Swollen eye,White discharge from eye,Lacrimation,Symptoms of eye,Sore throat,Coryza
Herniated disk,Low back pain,Back pain,Leg pain,Neck pain,Loss of sensation,Shoulder pain,Hip pain,Lower body pain,Arm pain,Paresthesia,Leg weakness,Arm weakness
Rhabdomyolysis,Sharp chest pain,Depressive or psychotic symptoms,Arm pain,Fatigue,Loss of sensation,Leg pain,Peripheral edema,Weakness,Vomiting,Ache all over,Headache,Hoarse voice
Breast infection (mastitis),Pain or soreness of breast,Lump or mass of breast,Abnormal appearing skin,Fever,Bleeding or discharge from nipple,Postpartum problems of the breast,Recent pregnancy,Chills,Bones are painful,Skin growth,Long menstrual periods,Mouth dryness
Abdominal aortic aneurysm,Sharp abdominal pain,Back pain,Shortness of breath,Sharp chest pain,Side pain,Burning abdominal pain,Swollen abdomen,Palpitations,Retention of urine,Arm swelling,Groin pain,Pallor
Pulmonary embolism,Shortness of breath,Sharp chest pain,Difficulty breathing,Cough,Leg pain,Back pain,Side pain,Weakness,Chest tightness,Hemoptysis,Leg swelling,Sweating
Conduct disorder,Depressive or psychotic symptoms,Hostile behavior,Excessive anger,Seizures,Depression,Fainting,Temper problems,Abusing alcohol,Restlessness,Hysterical behavior,Delusions or hallucinations,Lack of growth
Air embolism,Pain in eye,Shoulder cramps or spasms,Facial pain,Ankle pain,Wrist pain,Pain during pregnancy,Excessive anger,Joint stiffness or tightness,Pain or soreness of breast,Knee lump or mass,Fatigue,Excessive urination at night
Mastectomy,Lump or mass of breast,Pain or soreness of breast,Problems with shape or size of breast,Skin swelling,Arm stiffness or tightness,Smoking problems,Burning chest pain,Regurgitation,Leg cramps or spasms,Swollen lymph nodes,Heartburn,Hand or finger stiffness or tightness
Epididymitis,Pain in testicles,Swelling of scrotum,Groin pain,Sharp abdominal pain,Side pain,Lower abdominal pain,Painful urination,Blood in urine,Retention of urine,Lower body pain,Swollen abdomen,Mass in scrotum
Premature rupture of amniotic membrane,Uterine contractions,Fever,Weight gain,Seizures,Spotting or bleeding during pregnancy,Coryza,Sharp abdominal pain,Muscle swelling,Low back weakness,Elbow weakness,Abnormal size or shape of ear,Back weakness
Molluscum contagiosum,Skin rash,Skin swelling,Skin lesion,Warts,Itching of skin,Arm lump or mass,Abnormal appearing skin,Acne or pimples,Skin growth,Bumps on penis,Knee lump or mass,Skin dryness;peeling;scaliness;or roughness
Necrotizing fasciitis,Leg pain,Hip pain,Peripheral edema,Hand or finger pain,Vaginal pain,Arm swelling,Skin lesion,Abnormal appearing skin,Leg swelling,Elbow cramps or spasms,Elbow weakness,Excessive growth
Benign vaginal discharge (leukorrhea),Vaginal discharge,Sharp abdominal pain,Vaginal itching,Problems during pregnancy,Burning abdominal pain,Painful urination,Pelvic pain,Vaginal pain,Suprapubic pain,Pain during pregnancy,Frequent urination,Vaginal redness
Bladder obstruction,Retention of urine,Symptoms of bladder,Impotence,Frequent urination,Symptoms of prostate,Suprapubic pain,Blood in urine,Hesitancy,Peripheral edema,Involuntary urination,Excessive urination at night,Bedwetting
Melanoma,Skin lesion,Abnormal appearing skin,Skin moles,Irregular appearing scalp,Skin swelling,Skin growth,Swollen lymph nodes,Back mass or lump,Skin irritation,Skin dryness;peeling;scaliness;or roughness,Itchy eyelid,Skin on arm or hand looks infected
Cervical disorder,Sharp abdominal pain,Vaginal bleeding after menopause,Pelvic pain,Vaginal discharge,Vaginal itching,Intermenstrual bleeding,Painful urination,Painful menstruation,Pain during intercourse,Vaginal pain,Hot flashes,Focal weakness
Laryngitis,Sore throat,Hoarse voice,Cough,Nasal congestion,Fever,Coryza,Ear pain,Difficulty in swallowing,Throat feels tight,Allergic reaction,Sinus congestion,Difficulty speaking
Dyshidrosis,Skin rash,Skin lesion,Skin dryness;peeling;scaliness;or roughness,Itching of skin,Abnormal appearing skin,Back pain,Acne or pimples,Dry or flaky scalp,Foot or toe lump or mass,Frequent urination,Ankle pain,Skin on leg or foot looks infected
Poisoning due to opioids,Depressive or psychotic symptoms,Drug abuse,Arm pain,Slurring words,Dizziness,Vomiting,Difficulty speaking,Abusing alcohol,Feeling ill,Sleepiness,Arm weakness,Problems with movement
Diaper rash,Diaper rash,Skin rash,Diarrhea,Fever,Cough,Nasal congestion,Vomiting,Blood in stool,Irritable infant,Pulling at ears,Redness in ear,Temper problems
Lichen planus,Abnormal appearing skin,Skin rash,Itching of skin,Skin moles,Skin growth,Skin dryness;peeling;scaliness;or roughness,Difficulty speaking,Itchy scalp,Mouth ulcer,Skin lesion,Irregular appearing scalp,Acne or pimples
Gastroduodenal ulcer,Sharp abdominal pain,Vomiting,Nausea,Burning abdominal pain,Upper abdominal pain,Vomiting blood,Sharp chest pain,Headache,Blood in stool,Changes in stool appearance,Melena,Heartburn
Inguinal hernia,Groin pain,Groin mass,Sharp abdominal pain,Lower abdominal pain,Ache all over,Swollen abdomen,Swelling of scrotum,Pain in testicles,Mass in scrotum,Symptoms of the scrotum and testes,Penis redness
Eczema,Skin rash,Itching of skin,Abnormal appearing skin,Skin dryness;peeling;scaliness;or roughness,Skin lesion,Cough,Allergic reaction,Acne or pimples,Skin swelling,Irregular appearing scalp,Skin irritation,Warts
Asperger syndrome,Depressive or psychotic symptoms,Anxiety and nervousness,Depression,Temper problems,Lack of growth,Fainting,Antisocial behavior,Delusions or hallucinations,Hostile behavior,Excessive anger,Obsessions and compulsions,Nightmares
Mucositis,Fever,Mouth ulcer,Sore throat,Decreased appetite,Mouth pain,Tongue lesions,Gum pain,Difficulty in swallowing,Vomiting,Irritable infant,Swollen tongue,Tongue pain
Paronychia,Hand or finger pain,Skin on arm or hand looks infected,Irregular appearing nails,Hand or finger swelling,Foot or toe pain,Abnormal appearing skin,Skin on leg or foot looks infected,Foot or toe swelling,Hand or finger lump or mass,Sinus congestion,Nailbiting,Skin dryness;peeling;scaliness;or roughness
Open wound of the jaw,Facial pain,Lip swelling,Symptoms of the face,Wrist swelling,Mouth pain
White blood cell disease,Fever,Vomiting,Sharp abdominal pain,Nausea,Cough,Diarrhea,Weakness,Fatigue,Chills,Fluid retention,Mouth pain,Heartburn
Kaposi sarcoma,Leg pain,Foot or toe pain,Cough,Lip swelling,Skin lesion,Depression,Sharp abdominal pain,Elbow cramps or spasms,Elbow weakness,Excessive growth,Underweight,Low back weakness
Spondylolisthesis,Low back pain,Back pain,Leg pain,Hip pain,Lower body pain,Neck pain,Loss of sensation,Paresthesia,Problems with movement,Leg weakness,Leg cramps or spasms,Pain or soreness of breast
Pseudotumor cerebri,Headache,Diminished vision,Dizziness,Pain in eye,Fluid retention,Hot flashes,Skin swelling,Diminished hearing,Regurgitation,Spots or clouds in vision,Abnormal involuntary movements,Slurring words
Conjunctivitis due to virus,Eye redness,Pain in eye,Itchiness of eye,Fever,Swollen eye,Nasal congestion,White discharge from eye,Cough,Lacrimation,Coryza,Eye burns or stings,Diminished vision
Open wound of the nose,Headache,Nosebleed,Facial pain,Hot flashes,Sleepiness,Sore in nose,Diminished hearing,Neck weakness,Knee weakness
